Date,Open,High,Low,Close,Volume
2022-02-09 19:34:00, 0.8810, 0.8811, 0.8803, 0.8805,272698.6
2022-02-09 19:35:00, 0.8804, 0.8816, 0.8795, 0.8814,778149.9
2022-02-09 19:36:00, 0.8814, 0.8837, 0.8813, 0.8834,840953.4
2022-02-09 19:37:00, 0.8835, 0.8839, 0.8822, 0.8827,843441.2
2022-02-09 19:38:00, 0.8828, 0.8830, 0.8820, 0.8823,676046.2
2022-02-09 19:39:00, 0.8824, 0.8829, 0.8811, 0.8813,412550.8
2022-02-09 19:40:00, 0.8813, 0.8837, 0.8805, 0.8837,1092442.4
2022-02-09 19:41:00, 0.8837, 0.8857, 0.8836, 0.8855,1335263.9
2022-02-09 19:42:00, 0.8855, 0.8861, 0.8837, 0.8849,1286563.0
2022-02-09 19:43:00, 0.8849, 0.8849, 0.8837, 0.8838,302400.2
2022-02-09 19:44:00, 0.8838, 0.8863, 0.8837, 0.8863,1028632.0
2022-02-09 19:45:00, 0.8863, 0.8874, 0.8856, 0.8867,1818066.7
2022-02-09 19:46:00, 0.8866, 0.8893, 0.8860, 0.8892,1431986.8
2022-02-09 19:47:00, 0.8893, 0.8912, 0.8881, 0.8906,2330262.9
2022-02-09 19:48:00, 0.8906, 0.8930, 0.8901, 0.8930,1669494.3
2022-02-09 19:49:00, 0.8929, 0.8945, 0.8924, 0.8942,1260194.3
2022-02-09 19:50:00, 0.8940, 0.8942, 0.8901, 0.8919,1530493.6
2022-02-09 19:51:00, 0.8919, 0.8922, 0.8901, 0.8909,804216.9
2022-02-09 19:52:00, 0.8909, 0.8930, 0.8908, 0.8919,642992.2
2022-02-09 19:53:00, 0.8919, 0.8937, 0.8918, 0.8924,607255.0
2022-02-09 19:54:00, 0.8924, 0.8932, 0.8924, 0.8931,549785.1
2022-02-09 19:55:00, 0.8931, 0.8970, 0.8931, 0.8955,2346759.5
2022-02-09 19:56:00, 0.8955, 0.8964, 0.8954, 0.8958,849812.4
2022-02-09 19:57:00, 0.8959, 0.8982, 0.8941, 0.8980,1905763.8
2022-02-09 19:58:00, 0.8979, 0.8983, 0.8967, 0.8976,1755122.8
2022-02-09 19:59:00, 0.8976, 0.9012, 0.8975, 0.8996,4609284.5
2022-02-09 20:00:00, 0.8996, 0.9107, 0.8995, 0.9069,16910272.7
2022-02-09 20:01:00, 0.9069, 0.9136, 0.9053, 0.9067,12143346.6
2022-02-09 20:02:00, 0.9066, 0.9070, 0.9031, 0.9061,4431429.5
2022-02-09 20:03:00, 0.9061, 0.9110, 0.9044, 0.9106,6095059.9
2022-02-09 20:04:00, 0.9107, 0.9173, 0.9080, 0.9086,13941046.1
